sphere,SEQUENTIAL,5000,40,100,,1441.54
sphere,THREADS,5000,40,100,,643.022
sphere,PROCESS,5000,40,100,8,508.806
rosen,SEQUENTIAL,5000,40,100,,2532.03
rosen,THREADS,5000,40,100,,788.999
rosen,PROCESS,5000,40,100,8,708.901
rastrigin,SEQUENTIAL,5000,40,100,,1989.4
rastrigin,THREADS,5000,40,100,,719.111
rastrigin,PROCESS,5000,40,100,8,624.592
ackley,SEQUENTIAL,5000,40,100,,1972.02
ackley,THREADS,5000,40,100,,730.377
ackley,PROCESS,5000,40,100,8,629.298
schwefel,SEQUENTIAL,5000,40,100,,2268.03
schwefel,THREADS,5000,40,100,,748.092
schwefel,PROCESS,5000,40,100,8,650.16
